id,Full Name,Born,Age,Batting_style,Bowling_style,Playing_role,Bio
12,Ravindrasinh Anirudhsinh Jadeja,"December 06, 1988, Navagam-Khed, Saurashtra",34y 265d,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Dissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling.In October 2019 he became the quickest left-arm bowler to reach 200 Test wickets. Six years before that, he had became the first Indian since Anil Kumble in 1993 to top the ICC ODI bowling rankings. In the IPL, he drew a scarcely believable bid of US$2 million in 2012.In an era in which he was bound to be overshadowed by the artistry of fellow spinner R Ashwin, Jadeja kept his senior colleague on his toes, and often stole the spot when conditions allowed India to play just the one spinner. It helped that he was a captain's dream: arguably the fastest man on the turf and the best fielder in the time that he played, he went on to become an important lower-order batter.Some of his best batting performances came against the top teams, and they were often accompanied by the swordsman's celebration that became his signature. Ten years into his career, he had five Test fifties and a hundred against England - the latter in a partnership of 222 with Rishabh Pant at Edgbaston in 2022 - and four half-centuries against Australia. It was all a far cry from the memes his batting inspired at the start of his career - though the ridicule directed at his three triple-hundreds in domestic cricket back then was more an indictment of the quality of bowling on the Indian first-class circuit at the time.Jadeja shone in India's 2013 Champions Trophy win, finishing as the leading wicket-taker, with 12 wickets, two of those in the final, where he also made an unbeaten 33.His most valuable assets as a bowler are perhaps his fitness and strength, which enable him to go at batters for hours, ready to pounce on any assistance from the pitch. Like with his batting, his bowling highlights too feature the best sides disproportionately. His first Test five-for came against Australia in Delhi in 2013, and was followed by 6 for 138 in his next match, against South Africa in Durban, though that was in an India defeat. When South Africa next visited India, he got stuck into them, with 23 wickets in the four Tests in 2015. Against England at home in 2016-17, he harvested 26; this included an impressive demolition job in Chennai, where he took 7 for 48 after India had racked up 759 runs. Later that season he took 25 wickets when Australia visited for four Tests, to go with the 24 from the previous time, in 2013.Through the first half of his career and beyond, Jadeja's place in the Test side was never quite secure. He had to fight through a serious shoulder injury, and he was even dropped from the squad, but he kept coming back. Of course, these hardships paled in comparison with a tough childhood in Jamnagar, and the hard knocks that marked his early career, including being banned by the IPL for a year for essentially trying to negotiate his salary. In that tournament, Jadeja has been synonymous with Chennai Super Kings, for whom he has taken over 100 wickets over nine seasons and whom he briefly captained in 2022."
13,Shardul Narendra Thakur,"October 16, 1991, Palghar, Maharashtra",31y 316d,Right hand Bat,Right arm Medium,Bowler,"An aggressive quick bowler, who can swing the ball away from the right-handers even while hitting the pitch hard, Shardul Thakur has established himself as the spearhead of Mumbai's attack. With the new ball, Thakur's at-the-batsman method forms a neat counterpoint to Dhawal Kulkarni's more metronomic style, and the two combined brilliantly to win Mumbai their 41st Ranji Trophy title in February 2016. Thakur picked up eight wickets in the final against Saurashtra, and his dismissal of Cheteshwar Pujara on the third day, the ball rearing up from a length to hit the shoulder of the bat, was perhaps the ball of the match.Thakur hails from Palghar, a town 87 km north of Mumbai, and spent his early cricketing years lugging his kitbag on early-morning trains into the city. Mumbai won the Ranji Trophy in his debut season of 2012-13, but he did not play a major role in the triumph, picking up only four wickets in four matches at an average of 82.Told to lose weight by his Mumbai team-mates, Thakur came back leaner and fitter the next season, and picked up 27 wickets at 26.25. The 2014-15 season was even better, Thakur finishing joint-top of the Ranji Trophy bowling charts with 48 wickets at 20.81. That earned him a call-up to the India A squad for four-day games against Australia A and South Africa A. Later that year, playing for the Board President's XI, he bagged a four-wicket haul against the touring South Africans, his wickets including those of Faf du Plessis and Hashim Amla.Kings XI Punjab signed Thakur for INR 20 lakhs at the 2014 IPL player auction, but he only got to play one match in his first two seasons for the team.ESPNcricinfo staff"
14,Washington Sundar,"October 05, 1999, Chennai, Tamil Nadu",23y 327d,Left hand Bat,Right arm Offbreak,Bowling Allrounder,"Like R Ashwin from Tamil Nadu before him, Washington Sundar went from being a batsman as a youngster to making his name as an offspinner. After representing India at the 2016 Under-19 World Cup, he replaced Ashwin at Rising Pune Supergiant in the 2017 IPL, and bowled at an impressive economy rate to help his side to the final.Sundar's father, a cricketer who made it to the Tamil Nadu Ranji probables without getting into the final squad, named him Washington to honour his godfather, Mr Washington, who would buy bats for him and pay his fees. Sundar loved to bowl but only in matches because he found it boring to just field. He eventually started to take it seriously under the eye of former India offspiner M Venkataramana. Sundar bowls with great discipline, and held his own in domestic one-day competitions and after making his Twenty20 debut as a 17-year-old in the IPL."
15,Axar Rajeshbhai Patel,"January 20, 1994, Anand, Gujarat",29y 220d,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"Left-arm spinner Axar Patel has been increasingly handy with the bat in the lower order across formats - enough to be classified as a bowling allrounder. He played just one first-class game in his debut season for Gujarat, but had a more successful showing in 2013, when he was one of the key contributors to India Under-23s' title win in the ACC Emerging Teams Cup, with seven wickets, including a four-for in the semi-final against UAE. He was consistent for Gujarat with bat and ball in the Ranji Trophy that season, finishing with 369 runs at an average of 46.12 and 29 wickets at 23.58.Axar scored an IPL contract with Mumbai Indians ahead of the 2013 season but didn't get a game. He had a more impressive season the following year, after switching to Kings XI Punjab - 16 wickets at an economy rate of 6.22 - and was rewarded with a place in the Indian ODI squad for the tour to Bangladesh, though he only played one match.He made his T20 debut against Zimbabwe in 2015, but for the next three years found himself in and out of the limited-overs squads, stepping in more often than not in the absence of Ravindra Jadeja. His Test debut likewise came about when Jadeja was forced to sit out the 2021 England series with a broken thumb. Axar took five wickets on debut in the second Test in Chennai, and followed it up with an 11-wicket haul in the third: he finished the series with 27 wickets. In 2022, he made a 27-ball fifty, his first in ODIs, to seal a series win for India against West Indies."
16,Prithvi Pankaj Shaw,"November 09, 1999, Thane, Maharashtra",23y 292d,Right hand Bat,Right arm Offbreak,Opening Batter,"Prithvi Shaw shot to prominence as a 14-year old when he scored 546 off 330 balls, an innings that contained 85 fours and five sixes, for his school Rizvi Springfield in the Harris Shield, an age-group cricket tournament in Mumbai in 2013. Shaw's innings was then the highest score in school cricket.In November 2016, Shaw was part of the India Under-19 squad that won the youth Asia Cup in Sri Lanka. Two months later, he made his Ranji Trophy debut for Mumbai in the semi-final against Tamil Nadu and scored a second-innings century that led his team to victory.In September 2017, at 17, Shaw became the youngest player to score a century on Duleep Trophy debut, a record previously held by Sachin Tendulkar. He was then named captain of the Under-19 World Cup squad, a tournament India went on to win. During the tournament, he was sold to Delhi Daredevils for INR 1.2 crore (USD 187,500 approx) in the 2018 IPL auction.Given an opportunity after their IPL campaign flagged midway, Shaw impressed head coach Ricky Ponting with his fearless batting against the new ball; ending with 245 runs in nine innings at a strike rate of 153.12. However, it was his performances for India A, both in England and at home against West Indies A and South Africa A, that gave wings to his India aspirations.He pipped Mayank Agarwal in the race to be India's back-up opener when he earned a call-up for the fourth and fifth Tests in England in 2018, and finally became India's 293rd Test cricketer in Rajkot against West Indies in November 2018 after India's selectors ran out of patience with Shikhar Dhawan. Shaw marked the occasion by becoming the youngest Indian Test centurion on debut, and just the second-youngest Test centurion for India after Sachin Tendulkar."
17,Deepak Lokandersingh Chahar,"August 07, 1992, Agra, Uttar Pradesh",31y 21d,Right hand Bat,Right arm Medium,Bowler,"Deepak Chahar is a classical swing bowler who added T20 smarts to his game to pick up 6 for 7 against Bangladesh in 2019, then the best bowling figures in T20Is.After making a sensational first-class cricket debut for Rajasthan in 2010-11, taking 8 for 10 in Hyderabad's 21 all out, Chahar struggled with injuries and fitness. He then rediscovered himself as a T20 bowler, blossoming under the captaincy of MS Dhoni in Chennai Super Kings' triumphant return to the IPL in 2018. He did even better next season, finishing third on the wickets table, with 22 at a strike rate of 17.5, including 3 for 26 in the final. Super Kings paid US$1.8 million to keep him at the 2022 auction. However, a back injury ruled him out of that season's IPL and from the T20 World Cup, for which he was in the reserves, later in the year.A bowler in the mould of Praveen Kumar and Bhuvneshwar Kumar, Chahar learned swing bowling at his father's coaching academy. Dhoni used him shrewdly with the new ball, often bowling him for three overs in the powerplay. Chahar also kept working on his other skills and turned himself into a capable bowler at the death, which was evident in that record-breaking spell against Bangladesh: four of his six wickets, including a hat-trick, came with a wet old ball in dewy conditions.Chahar is also a handy lower-order batter. In an ODI in Colombo in July 2021, he steered India's chase with an unbeaten 69 from No. 8."
18,Deepak Jagbir Hooda,"April 19, 1995, Rohtak",28y 131d,Right hand Bat,Right arm Offbreak,Allrounder,"An allrounder who can bat in any position, Deepak Hooda also bowls offbreaks, offers plenty of athleticism as a boundary fielder, and is an asset in any T20 side. His big hitting as a 19-year-old in his debut IPL season, in 2015, earned with the nickname ""Hurricane Hooda"", but more importantly, got him a Rs 4.2 crore (US$ 622,000 approx) contract with Sunrisers Hyderabad at the next auction.Hooda's game is also suited to the longer formats. Appointed Baroda's captain at the start of the 2016-17 Ranji season, he reeled off three consecutive hundreds, including an unbeaten 293 against Punjab, but struggled to convert his starts thereafter. In 2021, Baroda suspended him for indiscipline after he left the T20 squad, having accused captain Krunal Pandya of ""bullying"" and using abusive language. He moved to Rajasthan the next season.But Hooda patched things up with Pandya before the start of the 2022 IPL, and had a breakout season for Lucknow Super Giants under Pandya's captaincy. Immediately after, he scored his maiden T20I hundred - in only his third innings - against Ireland in Malahide and found himself included in the 2022 T20 World Cup squad."
19,Krunal Himanshu Pandya,"March 24, 1991, Ahmedabad, Gujarat",32y 157d,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Krunal Pandya, an allrounder and brother of Hardik Pandya, was drawn to the game as a result of his father Himanshu, taking his sons to the stadium in Vadodara when the cricket carnival came to town. The brothers started training at Kiran More's academy in the city. Krunal, who is seen as a limited-overs specialist, has played 4 List A games and 15 T20s for Baroda. However, he hasn't played since March 2015 due to a labral tear in his shoulder that required surgery. He did get picked up in the IPL auction by Mumbai Indians for INR 2 crores."
20,Manish Krishnanand Pandey,"September 10, 1989, Nainital, Uttaranchal",33y 352d,Right hand Bat,Right arm Medium,Top order Batter,"Manish Pandey will always be remembered as the first Indian to score a century in the IPL. In one night, the 19-year-old went from being Karnataka's next big Ranji hope to entering the record books as he hit his way to the highest Twenty20 score by an Indian. That century also meant he would not have to carry out his intention of following his father into the army if he did not make it as a professional cricketer.But his barnstorming start did not immediately translate into an India call-up and Pandey continued to work his way up in the domestic circuit. His growth as an aggressive middle-order batsman and an athletic fielder coincided with Karnataka's rise as undisputed leaders of the domestic arena in a period that saw them complete the double treble. In July 2015, six years after that smash-mouth IPL hundred in Centurion, Pandey made his international debut in Harare.Pandey's breakout international innings, however, came six months later in Sydney. In January 2016, his unbeaten maiden ODI century helped India gun down Australia's 330 with two balls to spare and prevent a whitewash. While Pandey was not included in any of the T20 competitions India played in the lead-up to the World T20, he was brought in to replace an injured Yuvraj Singh in the semi-final against West Indies, where Pandey did not bat. ESPNcricinfo staff"
21,Navdeep Amarjeet Saini,"November 23, 1992, Karnal, Haryana",30y 278d,Right hand Bat,Right arm Fast,Bowler,No bio
22,Mayank Anurag Agarwal,"February 16, 1991, Bangalore, Karnataka",32y 193d,Right hand Bat,Right arm Offbreak,Batter,"A prolific opening batsman since his Under-13 days with Bishop Cotton Boys' School, Bangalore, Mayank Agarwal modelled his style of batting on Virender Sehwag. Agarwal struck 432 runs at an average of 54 in five matches in the Under-19 Cooch Behar Trophy in 2008-09 and hit a match-winning 160 for India Under-19s, in a one-dayer against Australia Under-19s in Hobart in 2009.Agarwal was a bright spot in an otherwise disappointing Under-19 World Cup for India in 2010, top-scoring for his side in the tournament. Agarwal then graduated to the India A sides, but struggled for consistency.  Initially pigeonholed as a limited-overs specialist,  Agarwal made his Ranji Trophy debut for Karnataka in the 2013-14 season; he made his T20 debut in 2010-11 and List A debut in 2011-12.In the 2014-15 season, he was in the running to open for Karnataka in the Ranji Trophy, but was benched halfway through the season. According to Rahul Dravid, who worked with Agarwal in the India A side, it was a ""wake-up call"" for the opener. Agarwal lost weight in the off season, worked hard on his fitness, and scored his maiden first-class century the following season.He spent three seasons in the IPL with Royal Challengers Bangalore, from 2011 to 2013, scoring 492 runs in 35 matches, before moving to Delhi Daredevils in 2014. His stint with Daredevils was fairly muted in his first two seasons. ESPNcricinfo staff"
